LeetCode #,Title,Difficulty,Acceptance %,Topics,Primary / Representative Algorithm,Optimal Time Complexity,Notes
253,Meeting Rooms II,Medium,52.6%,"Array, Two Pointers, Greedy, Sorting, Heap, Prefix Sum, Intervals",Sweep Line,O(n log n),
1851,Minimum Interval to Include Each Query,Hard,54.3%,"Array, Binary Search, Sorting, Heap, Line Sweep",Heap,O((n+m) log n),
48,Rotate Image,Medium,79.6%,"Array, Math, Matrix",Matrix Rotation,O(n^2),
54,Spiral Matrix,Medium,56.6%,"Array, Matrix, Simulation",Matrix Simulation,O(nm),
73,Set Matrix Zeroes,Medium,62.8%,"Array, Hash Table, Matrix",Matrix Marking,O(nm),
202,Happy Number,Easy,59.6%,"Hash Table, Math, Two Pointers",Floyd Cycle Detection,O(log n),
66,Plus One,Easy,49.9%,"Array, Math",Digit Simulation,O(n),
50,"Pow(x, n)",Medium,38.6%,"Math, Recursion",Binary Exponentiation,O(log n),
43,Multiply Strings,Medium,44.0%,"Math, String, Simulation",String Multiplication,O(nm),
2013,Detect Squares,Medium,52.5%,"Array, Hash Table, Design, Counting",Hash Map,O(n),
136,Single Number,Easy,77.6%,"Array, Bit Manipulation",XOR,O(n),
191,Number of 1 Bits,Easy,76.7%,"Divide and Conquer, Bit Manipulation",Brian Kernighan's Algorithm,O(1),
338,Counting Bits,Easy,80.5%,"Dynamic Programming, Bit Manipulation",Dynamic Programming,O(n),
190,Reverse Bits,Easy,68.2%,"Divide and Conquer, Bit Manipulation",Bit Manipulation,O(1),
268,Missing Number,Easy,71.9%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",XOR,O(n),
371,Sum of Two Integers,Medium,55.4%,"Math, Bit Manipulation",Bit Manipulation,O(1),
7,Reverse Integer,Medium,31.8%,Math,Digit Manipulation,O(log n),
